34,32,39,26,30,36,31,42,34,37,39,50,68,68,56,80,73,77,90,58,111,113,70,68,83,76,56,34,35,35,34,45,55,58,57,69,69,87,126,102,
63,58,44,29,20,41,38,38,30,35,45,41,54,62,66,83,76,70,50,56,41,34,51,57,50,77,91,63,35,32,30,18,11,7,9,5,7,4,0,0,
21,31,33,14,18,19,18,23,22,23,26,28,30,32,36,53,41,35,43,36,34,19,28,37,38,61,56,41,26,8,3,7,9,6,4,1,6,5,0,1,
3,3,10,9,5,3,3,8,7,1,3,11,5,6,14,14,12,17,20,10,8,9,1,0,3,2,0,1,1,3,4,0,1,1,0,3,1,3,1,1,
61,102,103,69,84,153,135,160,157,180,211,165,147,110,128,81,68,47,43,46,43,24,32,29,64,90,89,52,14,9,18,25,28,26,22,22,42,44,38,38,
7,6,2,1,6,7,4,2,5,1,2,8,11,10,9,15,11,24,20,19,22,19,26,17,6,9,5,3,4,6,4,7,13,12,14,15,14,12,18,12,
9,9,3,6,4,3,2,4,9,10,4,4,2,4,16,22,22,4,2,5,8,9,10,7,11,2,3,4,4,3,2,7,16,9,6,7,7,10,22,15,
260,426,378,206,307,559,623,704,705,929,949,817,515,477,495,424,265,176,129,97,99,79,94,107,230,379,387,205,56,54,50,96,104,78,113,138,152,173,191,206,
79,149,121,94,100,181,186,219,254,264,303,241,161,151,143,111,92,68,54,48,48,36,25,28,102,119,105,78,20,21,22,36,43,34,32,32,47,80,70,64,
44,48,40,18,21,29,24,29,36,33,44,32,45,51,80,91,79,71,56,56,35,21,56,54,40,70,80,56,28,22,29,26,8,6,8,5,6,5,4,0,
2,3,4,6,3,4,3,5,12,2,3,2,12,9,5,8,9,2,3,4,20,20,25,15,11,13,4,5,6,7,14,9,8,14,19,19,21,24,18,11,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,8,6,3,2,2,5,2,2,2,6,4,3,11,16,19,15,16,12,4,3,2,2,0,0,3,3,4,6,13,19,10,3,1,0,2,2,2,0,1,
31,32,38,36,20,24,18,23,29,36,26,20,22,19,30,53,52,26,28,18,31,23,12,15,12,12,11,17,24,8,6,12,13,18,8,12,11,20,26,33,
93,88,71,43,63,61,70,60,67,69,57,68,70,63,114,156,108,78,78,108,89,62,76,84,88,103,113,96,60,35,40,29,52,20,11,28,20,39,42,44,
93,187,149,106,121,184,197,228,216,0,0,0,0,0,0,0,0,0,0,65,57,50,40,50,92,128,133,77,22,23,35,37,47,40,37,56,64,85,79,99,
1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,1,0,1,0,0,0,0,0,1,1,
13,20,17,17,6,15,16,11,12,0,0,0,0,0,0,0,0,0,0,17,16,4,12,24,15,18,32,21,22,16,16,8,5,3,5,3,4,1,0,2,
