27,37,36,27,31,43,21,42,37,28,35,44,57,55,47,66,54,55,67,57,98,107,82,71,98,82,50,38,33,41,38,47,61,56,48,71,67,101,125,101,
39,51,44,20,22,36,32,38,37,34,47,40,43,50,71,87,70,58,62,62,50,25,40,56,52,82,91,65,36,35,22,24,14,5,6,7,3,2,2,1,
36,35,31,18,7,26,21,28,21,26,21,36,34,34,45,52,47,49,36,44,33,22,30,36,35,60,74,45,29,18,6,7,6,6,7,7,6,4,2,0,
1,5,5,2,2,5,6,10,6,1,3,4,5,9,5,14,7,17,25,18,10,14,6,0,3,4,0,1,1,3,2,3,2,1,1,0,0,1,3,3,
69,116,117,64,71,130,155,155,157,172,173,155,108,96,98,73,58,44,35,27,38,27,35,19,48,94,88,63,14,12,15,26,32,19,31,49,47,40,50,52,
8,3,2,1,3,5,4,1,2,2,1,8,10,10,11,11,18,18,21,16,29,32,24,12,11,7,9,2,8,7,8,7,1,10,15,20,20,14,19,11,
3,5,3,4,7,3,2,7,11,12,5,4,1,4,15,23,24,6,6,4,9,6,9,8,8,2,5,5,8,5,1,5,13,4,4,6,7,8,22,16,
262,428,337,208,335,532,596,677,696,738,780,643,426,375,398,334,243,153,109,114,98,69,83,103,261,356,382,183,55,48,65,86,115,93,93,110,145,168,163,190,
81,122,128,95,114,191,203,234,226,224,256,211,143,126,149,101,66,47,48,57,48,33,28,44,76,137,120,73,25,20,18,32,43,38,34,41,50,75,81,81,
47,49,37,23,23,31,29,34,34,40,35,34,50,51,67,84,67,64,68,58,38,29,52,59,49,61,77,49,30,12,34,21,9,13,5,5,7,5,0,1,
4,6,5,8,6,4,6,7,11,5,4,3,10,14,4,4,6,8,3,4,22,19,13,18,4,5,2,2,5,5,7,6,12,9,23,14,19,17,11,11,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,11,7,4,3,4,4,2,2,1,5,4,3,8,17,23,19,15,11,4,3,3,3,0,1,1,3,4,5,11,23,6,1,0,0,2,0,1,0,2,
24,26,40,34,20,22,14,23,34,33,17,24,22,21,38,62,49,29,14,33,24,25,18,18,12,9,9,17,15,4,11,12,18,6,6,10,13,26,34,27,
89,83,85,62,52,58,65,54,61,65,67,51,67,79,110,147,111,74,74,89,86,61,79,82,76,102,105,99,67,40,34,30,43,25,18,23,23,51,46,47,
104,208,170,105,110,223,199,236,250,240,269,230,166,141,133,128,84,75,48,47,61,45,39,44,94,129,130,87,21,21,26,50,43,48,50,49,62,80,78,87,
1,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,
15,18,10,9,5,8,16,8,12,0,0,0,0,0,0,0,0,0,0,13,18,7,19,22,17,30,24,24,11,14,14,10,4,0,4,3,4,1,0,0,
