24,31,22,32,28,37,27,33,34,21,27,36,51,56,42,70,52,68,64,51,89,95,77,59,71,77,54,33,30,27,35,40,56,59,58,62,68,91,122,89,
36,55,49,39,28,37,30,30,38,39,39,36,46,38,61,71,61,47,61,68,39,24,57,65,45,77,78,58,37,25,27,24,14,7,9,8,4,2,0,0,
41,32,13,17,17,25,33,26,25,26,25,24,44,39,44,65,62,39,26,44,40,23,38,32,43,63,82,45,29,14,9,7,9,10,4,12,5,7,0,0,
7,9,7,0,5,3,2,9,6,4,3,10,7,7,13,9,14,16,13,27,18,5,3,2,2,2,0,1,2,3,4,3,2,1,3,2,1,0,2,1,
74,123,109,84,83,159,171,176,189,201,206,181,118,121,114,95,73,46,41,46,47,28,42,32,67,101,105,54,14,19,17,34,29,26,29,31,40,57,37,48,
4,7,6,2,3,8,6,2,2,3,8,6,13,15,7,9,11,13,28,17,34,40,23,14,8,7,2,4,5,9,6,8,12,10,8,19,19,14,12,12,
7,15,10,2,5,5,4,2,8,12,11,3,2,1,10,29,26,7,6,8,12,8,2,9,7,6,5,5,5,7,3,3,11,9,6,8,6,10,17,25,
228,416,344,204,293,566,600,686,674,708,777,619,406,340,377,310,220,140,98,114,98,69,91,95,249,351,357,193,49,40,62,95,107,81,94,118,146,164,155,172,
92,158,159,93,136,180,175,252,221,236,276,239,164,145,145,122,77,63,48,53,53,34,24,33,86,144,134,88,21,23,23,34,44,39,46,52,66,74,96,100,
36,47,45,19,13,28,23,28,31,24,35,41,28,47,58,70,57,43,44,52,47,19,42,60,49,71,74,61,36,30,21,17,12,5,7,3,11,6,2,1,
10,1,8,8,7,3,2,16,11,4,5,2,10,7,3,5,5,7,4,3,19,30,21,20,14,10,13,10,10,12,13,5,11,8,23,17,17,21,16,16,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,10,3,1,4,3,2,2,3,2,2,3,3,6,20,17,16,12,10,3,4,1,1,0,0,4,1,3,5,14,20,10,3,1,0,0,1,0,1,0,
31,30,43,32,26,19,16,16,30,27,14,17,16,28,41,56,51,23,21,30,31,31,14,21,16,12,13,20,25,7,6,11,20,15,8,10,14,31,39,33,
86,94,80,49,54,53,66,69,70,70,52,52,57,73,100,138,102,97,70,66,70,67,72,77,77,83,102,99,55,35,39,35,38,20,15,20,16,42,45,49,
109,162,146,91,103,181,201,200,247,234,224,215,159,134,149,112,79,62,67,43,48,38,40,47,94,124,116,65,29,22,26,37,45,39,33,51,55,74,92,84,
0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,
26,12,13,10,5,14,15,11,7,11,14,7,21,16,23,32,17,29,26,22,16,10,13,26,17,30,33,18,11,10,14,8,4,3,2,4,4,1,0,0,
