25,42,30,24,30,36,25,39,37,20,30,38,59,60,53,66,49,56,73,60,110,121,66,66,64,81,43,36,27,38,41,47,59,60,58,72,65,86,128,96,
59,47,39,30,25,33,36,37,45,31,43,41,46,47,56,77,60,64,44,56,48,23,48,63,56,72,98,63,39,31,30,16,10,10,6,2,7,5,0,1,
30,35,31,13,11,17,25,25,20,16,27,23,33,31,46,48,42,35,39,37,29,13,39,39,34,53,60,49,25,13,7,7,13,6,3,6,9,2,1,0,
4,2,4,4,2,3,2,8,10,2,7,11,8,7,5,13,12,17,12,17,13,5,5,0,0,0,2,0,2,5,2,2,0,1,0,1,2,2,2,1,
60,79,93,59,86,129,153,149,155,163,160,177,102,110,90,77,53,36,47,43,38,29,28,20,78,104,83,48,18,16,15,25,34,25,28,27,32,53,34,39,
12,6,7,3,4,4,5,2,3,6,6,2,12,11,14,15,11,18,21,14,17,24,29,18,15,11,7,7,8,10,9,8,3,10,12,13,16,14,13,12,
8,7,10,5,4,0,3,5,12,6,5,2,0,2,9,24,23,5,6,5,8,8,4,4,7,6,10,10,11,4,1,6,7,7,6,4,5,15,13,15,
231,423,336,217,319,595,617,724,699,763,816,630,422,349,427,337,230,158,101,97,96,83,109,126,247,350,339,211,52,39,64,97,107,91,91,131,147,148,182,192,
90,165,146,91,121,168,170,205,224,233,257,215,135,141,125,86,73,54,43,49,48,31,26,31,83,119,142,69,28,19,21,36,43,33,44,33,57,79,84,93,
44,49,42,21,22,30,41,24,24,34,34,30,33,36,54,70,52,51,49,63,42,26,43,54,44,68,70,55,41,22,22,21,16,8,7,9,4,3,0,2,
5,5,4,9,5,4,3,10,11,5,3,5,6,7,3,6,9,7,4,5,18,30,23,15,10,6,10,3,4,7,8,10,12,10,20,19,18,28,18,10,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,10,6,5,7,7,1,1,1,4,3,1,2,7,18,23,15,10,8,3,4,4,1,1,1,1,0,4,5,7,20,11,2,0,0,0,0,1,0,0,
28,34,31,30,30,21,13,20,28,34,15,21,23,20,39,53,41,22,18,28,34,11,15,14,9,7,11,19,15,7,6,7,20,7,10,6,9,27,32,36,
72,94,91,58,42,65,58,63,73,69,51,57,79,80,116,161,122,85,80,91,94,67,70,79,87,109,112,91,55,40,46,41,31,21,21,30,28,43,41,44,
121,183,171,106,100,196,211,232,245,223,249,224,169,145,124,124,107,71,64,59,53,37,44,43,99,147,150,67,23,20,23,30,56,42,38,61,71,85,87,89,
0,2,2,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,
19,20,15,8,2,13,10,13,9,13,12,14,16,20,29,30,24,23,19,20,12,11,10,19,10,28,31,25,10,20,10,8,4,2,1,2,3,3,1,0,
