31,38,31,30,25,43,26,41,47,27,44,50,67,62,57,93,68,67,71,61,109,109,75,58,72,75,54,32,34,39,39,47,61,54,62,60,77,103,128,94,
45,46,39,15,17,28,32,32,42,39,59,38,63,70,85,90,79,79,70,46,49,32,49,71,52,86,78,64,37,24,25,13,13,5,6,7,9,4,2,0,
25,37,34,24,17,25,30,24,22,30,30,31,39,40,65,89,50,50,45,53,32,18,27,30,38,53,55,35,29,16,7,5,11,5,5,7,1,7,0,0,
4,5,5,3,7,4,1,7,4,3,3,4,3,4,6,4,8,17,13,7,14,6,2,0,4,4,2,4,0,4,2,3,0,2,2,1,2,1,1,3,
78,107,97,69,73,141,145,160,155,174,173,180,127,86,122,80,68,56,39,54,26,30,30,24,67,99,105,57,18,10,21,31,34,21,24,30,39,53,34,49,
6,3,5,3,5,3,4,4,3,5,3,1,16,9,14,12,9,18,24,16,23,34,28,20,9,6,7,4,3,5,3,5,6,16,16,16,14,16,28,11,
3,10,2,5,3,0,0,2,10,10,5,1,4,6,11,35,30,7,1,6,7,5,9,7,3,7,3,3,3,5,3,5,5,9,2,4,10,11,14,16,
240,417,339,207,328,575,633,688,697,756,812,651,383,365,396,355,255,151,112,105,114,87,94,108,240,352,364,220,68,47,54,88,110,90,98,140,155,179,176,198,
79,138,117,90,110,174,178,225,215,234,234,187,163,168,143,105,57,52,50,49,49,28,23,27,96,125,124,62,16,10,26,28,43,38,33,38,51,70,75,79,
46,54,42,23,17,32,25,25,25,47,47,55,49,58,85,96,88,74,77,55,47,21,48,40,51,76,95,62,33,26,33,23,16,9,5,7,9,5,2,1,
7,8,2,7,5,2,2,14,10,2,3,3,7,15,3,3,6,4,6,6,16,20,18,16,11,12,5,4,5,11,11,7,11,13,15,21,14,16,7,11,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,14,7,3,3,1,2,1,3,2,2,4,6,14,20,40,17,20,13,2,1,3,0,2,3,5,7,4,6,13,17,15,1,0,0,0,0,1,0,1,
23,37,44,38,20,28,21,26,29,26,17,29,27,21,40,71,64,29,22,21,38,22,16,17,12,4,7,15,21,12,8,7,23,13,8,7,6,23,40,33,
97,77,89,54,53,64,57,74,68,0,0,0,0,0,0,0,0,0,0,91,75,54,80,95,71,88,113,92,59,39,39,42,33,19,17,23,24,38,40,39,
108,193,187,102,118,189,202,221,256,252,271,239,169,137,138,117,87,66,64,50,48,43,46,56,102,148,125,70,18,26,26,46,48,37,46,51,60,64,89,93,
0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,1,0,0,0,1,0,0,2,0,1,
18,19,16,11,8,12,14,15,10,15,15,18,22,18,23,20,37,22,21,24,17,12,14,21,14,22,25,29,11,11,12,7,2,2,5,5,2,1,0,1,
